label,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%)
THOLEIITE,51.17,1.12,9.61,11.42,11.88,10.25,0.18,0.05,3.18,0.1
THOLEIITE,49.39,1.22,14.37,13.61,10.74,5.9,0.22,0.43,2.92,0.1
THOLEIITE,49.9,1.6,14.61,13.5,7.58,5.73,0.17,0.15,4.75,0.15
BASALT,51.8,1.9,13.96,14.14,7.72,5.56,0.35,0.19,2.71,0.19
BASALT,53.02,1.91,14.76,12.34,5.76,4.7,0.27,0.22,5.37,0.18
BASALT,49.99,1.96,14.31,16.34,7.29,5.19,0.39,0.95,1.65,0.17
BASALT,51.87,1.99,12.82,15.88,6.44,5.04,0.26,0.04,3.55,0.21
BASALT,51.08,2.07,13.6,15.58,6.78,4.42,0.24,0.16,3.94,0.21
BASALT,48.4,0.45,14.6,9.9,9.9,10.5,0.15,0.05,2.13,0.09
KOMATIITE,40.1,0.28,3.61,9.72,7.36,25.5,0.19,0.02,0.13,0.01
DACITE,65.5,1.14,16.1,1.9,5.41,0.49,0.08,2.36,3.19,0.28
BASALT,50.5,0.85,16.6,6.85,11.6,5.82,0.22,0.64,3.16,0.16
ANDESITE,62.0,1.62,14.0,5.34,4.94,1.24,0.1,0.67,3.23,0.24
DACITE,66.4,0.61,14.0,4.34,2.06,0.69,0.06,0.61,6.27,0.17
DACITE,65.4,0.79,15.4,5.01,0.35,5.35,0.09,2.2,0.26,0.37
DACITE,69.1,0.61,17.3,2.3,1.31,0.44,0.06,2.09,2.75,0.39
DACITE,89.0,1.24,13.9,5.56,0.44,3.15,0.11,2.26,0.29,0.32
ANDESITE,57.0,1.06,10.5,11.61,6.26,1.01,0.26,0.01,3.79,0.39
RHYOLITE,75.0,0.62,11.4,2.14,2.11,1.18,0.02,0.6,4.99,0.21
DACITE,56.8,0.77,16.6,8.32,0.8,4.5,0.06,0.45,5.58,0.2
BASALT,55.5,0.69,17.9,8.53,6.32,3.04,0.08,0.47,3.94,0.14
BASALT,50.5,1.74,13.9,11.79,11.2,5.0,0.19,0.25,2.97,0.1
BASALT,49.2,0.85,14.6,10.08,13.7,6.38,0.19,0.16,1.86,0.05
RHYOLITE,75.9,0.39,10.5,4.67,0.55,1.1,0.06,0.74,4.19,0.06
DACITE,69.2,0.44,14.8,3.76,1.14,0.62,0.04,1.44,5.38,0.08
DACITE,69.0,0.63,15.9,2.52,2.01,0.44,0.09,1.58,4.95,0.13
BASALT,47.97,0.29,9.31,10.36,7.76,23.5,0.19,0.02,0.01,0.03
KOMATIITE,47.81,0.25,8.43,10.39,7.26,24.75,0.17,0.0,0.0,0.0
KOMATIITE,49.55,0.54,3.17,7.81,0.62,37.49,0.13,0.0,0.0,0.01
BASALT,54.3,0.65,13.27,9.43,6.45,12.17,0.16,0.01,3.32,0.09
BASALT,51.5,0.64,10.18,12.36,7.08,15.78,0.18,0.01,1.97,0.05
BASALT,53.0,0.53,10.69,9.35,7.94,15.96,0.17,0.01,2.01,0.06
KOMATIITE,48.93,0.56,10.68,11.85,2.5,17.1,0.21,0.0,0.05,0.0
KOMATIITE,47.1,0.51,10.35,11.63,8.17,19.58,0.23,0.13,0.86,0.0
KOMATIITE,46.04,0.36,7.32,10.9,6.8,27.45,0.19,0.08,0.22,0.04
THOLEIITE,47.8,0.27,17.5,9.0,8.29,11.4,0.19,0.8,2.4,0.02
THOLEIITE,47.9,0.44,18.8,9.09,10.7,9.3,0.19,0.2,2.1,0.03
THOLEIITE,50.34,0.46,18.04,10.66,6.46,10.91,0.18,1.82,0.05,0.03
THOLEIITE,55.8,0.77,11.5,13.5,6.98,5.7,0.27,0.1,3.1,0.07
THOLEIITE,57.1,0.83,11.9,12.69,9.29,4.6,0.2,0.1,2.0,0.08
THOLEIITE,54.45,0.94,13.0,13.89,6.28,4.75,0.25,4.24,0.22,0.09
THOLEIITE,50.4,0.99,13.8,15.21,6.89,4.7,0.27,0.2,4.3,0.1
THOLEIITE,53.3,0.89,13.4,13.05,8.46,4.9,0.25,0.1,3.2,0.09
DACITE,60.1,1.2,12.4,11.7,6.08,2.4,0.2,4.0,0.3,0.39
BASALT,49.7,0.83,13.7,11.97,10.39,7.3,0.23,2.4,0.7,0.06
BASALT,51.7,0.86,17.0,7.47,7.65,7.6,0.17,4.2,0.4,0.13
RHYOLITE,80.9,0.25,10.2,1.89,0.74,0.9,0.02,2.8,1.8,0.08
ANDESITE,58.0,0.47,16.1,6.48,9.4,6.1,0.1,0.5,2.0,0.02
ANDESITE,53.1,0.42,14.4,7.38,11.1,9.8,0.2,0.1,1.7,0.02
ANDESITE,52.2,0.36,13.7,10.6,9.7,9.3,0.2,0.1,1.7,0.01
BASALT,51.4,0.38,13.4,8.64,10.8,10.2,0.0,0.0,2.5,0.04
BASALT,49.0,0.44,14.5,8.6,10.7,7.0,0.2,0.3,1.8,0.09
BASALT,49.5,0.37,13.7,10.2,6.1,13.0,0.2,0.8,1.5,0.1
BASALT,51.0,0.38,13.6,11.34,10.4,11.6,0.0,0.0,1.6,0.02
ANDESITE,56.7,0.43,12.9,11.97,4.9,10.5,0.0,0.1,2.1,0.06
ANDESITE,53.9,0.57,16.1,6.66,9.1,7.6,0.1,0.9,1.8,0.07
BASALT,51.3,0.43,15.5,7.65,9.7,9.3,0.2,1.2,1.6,0.05
ANDESITE,54.8,0.42,14.9,7.74,8.7,7.4,0.2,0.2,2.8,0.02
BASALT,51.8,0.47,14.4,8.64,9.9,9.9,0.2,0.8,0.9,0.02
BASALT,51.3,0.37,13.6,9.7,8.2,11.3,0.2,0.1,1.9,0.01
BASALT,51.4,0.36,13.6,9.63,10.5,10.7,0.2,0.1,1.7,0.03
ANDESITE,56.1,0.45,17.6,5.04,10.3,6.5,0.1,0.2,2.7,0.04
ANDESITE,54.4,0.73,13.4,10.98,13.1,5.7,0.3,0.0,0.6,0.08
BASALT,52.8,0.42,14.7,8.82,10.3,8.9,0.2,0.1,1.6,0.03
BASALT,52.6,0.44,13.6,9.27,9.1,9.8,0.2,0.5,1.7,0.03
BASALT,51.8,0.53,15.3,8.37,8.5,7.4,0.2,1.8,2.8,0.03
BASALT,53.1,0.44,15.3,8.37,11.4,7.5,0.2,0.1,1.4,0.04
BASALT,52.4,0.46,14.9,9.81,10.0,8.7,0.2,0.1,1.7,0.04
BASALT,51.4,0.45,15.3,9.45,8.3,8.9,0.2,1.7,1.1,0.03
BASALT,52.6,0.45,16.5,8.01,10.7,7.3,0.2,0.6,1.2,0.04
THOLEIITE,43.9,2.57,14.9,18.0,10.2,4.9,0.4,2.0,1.2,0.21
THOLEIITE,49.5,1.54,14.2,13.14,11.2,4.3,0.3,0.2,2.3,0.13
THOLEIITE,46.6,0.62,15.3,9.81,11.1,10.5,0.2,0.2,1.5,0.05
THOLEIITE,48.4,0.6,14.0,8.91,8.8,11.8,0.2,0.2,1.7,0.0
THOLEIITE,52.0,1.06,13.9,10.35,11.4,6.6,0.2,1.9,0.2,0.09
THOLEIITE,56.2,1.15,16.7,8.1,8.3,3.2,0.2,3.4,0.2,0.12
THOLEIITE,49.8,0.82,14.5,10.8,13.0,5.4,0.3,2.0,1.1,0.06
THOLEIITE,48.6,1.17,15.5,11.97,10.0,5.8,0.2,3.1,0.2,0.08
THOLEIITE,47.5,1.24,15.7,12.96,13.0,5.1,0.2,1.5,0.3,0.1
THOLEIITE,48.3,1.26,16.9,11.16,11.6,5.7,0.2,2.5,0.2,0.08
THOLEIITE,51.1,1.11,16.7,10.35,10.7,5.4,0.2,2.2,0.3,0.09
THOLEIITE,46.2,1.54,16.6,13.41,8.4,9.3,0.2,1.3,0.4,0.1
THOLEIITE,52.9,1.19,13.1,12.87,9.9,5.3,0.2,2.2,0.2,0.09
THOLEIITE,50.7,1.5,14.7,12.24,8.0,7.0,0.2,3.5,0.1,0.11
THOLEIITE,51.0,1.13,14.0,12.6,10.2,6.0,0.2,1.8,0.3,0.11
ANDESITE,54.6,0.96,16.7,6.93,11.5,3.1,0.2,2.5,0.5,0.19
ANDESITE,60.6,0.89,13.9,6.39,7.0,4.0,0.1,4.0,0.4,0.22
ANDESITE,50.8,0.87,17.9,8.91,6.4,4.5,0.2,4.4,0.9,0.39
THOLEIITE,52.0,0.67,14.7,8.91,12.6,7.4,0.2,0.1,1.7,0.02
THOLEIITE,51.3,0.55,14.2,10.8,12.5,7.7,0.2,0.1,0.1,0.02
THOLEIITE,47.9,0.55,11.3,11.43,11.3,11.9,0.2,0.3,1.2,0.02
THOLEIITE,50.9,0.58,13.8,11.16,11.1,8.5,0.2,0.1,1.7,0.05
THOLEIITE,50.9,0.57,13.4,10.44,11.3,7.5,0.2,0.1,1.6,0.02
BASALT,51.7,0.93,17.2,9.18,7.0,7.0,0.2,4.0,0.2,0.2
ANDESITE,59.3,0.94,16.6,7.02,4.4,3.6,0.1,3.7,1.1,0.28
ANDESITE,59.5,0.98,16.5,8.64,3.3,2.7,0.2,3.7,1.2,0.37
DACITE,63.6,0.8,13.1,5.22,7.9,3.2,0.1,3.5,0.1,0.26
ANDESITE,56.6,0.95,16.7,9.18,4.9,4.5,0.2,2.6,0.9,0.22
ANDESITE,55.7,0.79,16.3,7.83,7.3,5.6,0.2,3.5,1.1,0.2
ANDESITE,60.0,0.77,15.0,5.94,8.6,3.8,0.1,3.6,0.2,0.22
DACITE,64.5,0.83,16.1,5.13,3.1,3.0,0.1,3.9,1.1,0.17
ANDESITE,55.4,0.96,15.6,6.03,14.6,2.2,0.1,0.7,0.0,0.21
ANDESITE,57.7,0.84,15.8,7.29,5.1,4.7,0.1,6.5,0.2,0.15
DACITE,67.9,0.49,16.8,2.16,0.6,0.4,0.0,3.7,6.0,0.08
DACITE,64.8,0.7,17.3,3.87,3.7,1.7,0.1,3.1,2.4,0.18
ANDESITE,54.3,1.02,17.8,8.1,8.5,4.1,0.2,3.9,0.4,0.23
BASALT,52.4,0.76,13.6,8.73,8.5,8.4,0.2,3.1,1.2,0.3
DACITE,64.4,0.32,17.6,3.51,1.8,1.3,0.0,6.4,2.5,0.09
DACITE,63.3,0.98,15.2,6.3,1.7,2.5,0.1,4.5,2.9,0.21
ANDESITE,58.5,1.18,16.1,7.83,5.7,3.4,0.2,3.4,1.0,0.46
ANDESITE,61.2,0.75,15.8,6.21,4.9,2.8,0.1,4.6,1.2,0.2
DACITE,65.8,0.58,17.2,5.04,3.0,2.1,0.1,1.4,1.6,0.1
ANDESITE,55.4,0.8,15.3,8.01,6.8,5.6,0.1,1.8,4.9,0.4
ANDESITE,59.9,0.6,13.9,7.2,5.9,6.1,0.1,1.1,4.2,0.2
DACITE,68.2,0.3,15.5,2.7,3.7,1.8,0.03,1.7,5.6,0.1
RHYOLITE,72.8,0.3,15.1,2.25,2.51,1.71,0.01,2.67,2.2,0.11
RHYOLITE,64.1,0.6,16.3,5.58,4.8,2.4,0.1,1.3,4.1,0.11
RHYOLITE,79.5,0.1,11.9,0.9,3.4,0.5,0.0,2.7,1.0,0.03
RHYOLITE,76.5,0.1,13.6,1.8,1.2,1.6,0.0,3.3,1.6,0.02
RHYOLITE,72.1,0.2,16.1,0.9,2.7,0.5,0.0,2.8,4.6,0.06
DACITE,71.0,0.2,16.7,1.71,4.0,0.9,0.0,1.0,4.4,0.06
DACITE,70.8,0.2,16.0,1.98,2.3,1.1,0.0,2.6,4.6,0.08
RHYOLITE,73.4,0.2,16.0,2.16,0.4,0.9,0.0,4.9,1.7,0.08
DACITE,71.2,0.2,16.7,0.99,2.8,1.3,0.0,2.2,4.4,0.06
DACITE,72.0,0.2,15.9,1.71,1.9,1.3,0.0,4.5,2.3,0.07
RHYOLITE,80.0,0.2,12.9,0.99,0.2,0.4,0.0,3.6,1.5,0.1
RHYOLITE,77.7,0.1,13.3,0.45,0.1,0.2,0.0,4.5,3.4,0.0
BASALT,45.02,0.74,15.73,13.13,11.51,9.71,0.23,1.39,1.03,0.05
BASALT,47.67,0.92,15.44,13.7,8.22,8.95,0.25,0.63,2.64,0.06
BASALT,49.65,0.94,14.71,9.83,14.06,5.35,0.19,0.03,4.06,0.06
BASALT,50.38,1.31,16.97,14.88,3.68,7.51,0.2,1.13,2.18,0.09
BASALT,48.04,0.93,15.03,12.38,13.54,5.75,0.24,0.29,2.38,0.05
BASALT,49.68,1.88,12.19,17.65,8.01,5.31,0.26,0.37,2.52,0.15
BASALT,52.32,1.76,13.57,15.72,7.61,4.08,0.22,0.56,2.21,0.22
BASALT,55.5,1.48,12.69,14.95,6.57,3.45,0.22,0.55,2.67,0.27
BASALT,51.65,2.07,12.02,16.84,8.37,3.87,0.24,0.45,2.34,0.27
BASALT,59.45,1.4,12.26,11.78,6.1,2.24,0.28,0.53,4.24,0.39
BASALT,50.73,2.26,12.74,17.66,7.29,3.1,0.28,0.46,3.16,0.35
BASALT,47.52,0.61,16.02,10.33,10.85,10.28,0.18,1.76,1.26,0.03
BASALT,48.66,0.59,16.29,10.37,11.85,9.6,0.15,0.12,1.17,0.04
BASALT,49.95,0.57,18.02,9.48,8.09,8.57,0.27,0.05,3.9,0.04
BASALT,47.03,0.69,17.14,10.82,12.96,8.35,0.18,0.1,1.48,0.05
BASALT,48.35,0.89,16.43,11.23,10.61,7.67,0.19,1.11,2.2,0.07
BASALT,47.99,0.82,15.48,12.15,11.43,8.26,0.2,0.3,1.97,0.06
BASALT,49.82,0.6,16.61,11.9,10.33,7.71,0.28,0.0,1.38,0.05
BASALT,50.18,1.24,14.25,12.91,10.59,6.52,0.22,0.35,2.18,0.11
BASALT,51.33,0.73,15.64,10.77,10.89,6.18,0.38,1.57,1.26,0.05
BASALT,52.34,0.8,16.69,10.01,9.12,5.15,0.22,0.53,4.0,0.04
BASALT,52.84,0.79,17.25,9.65,9.07,6.18,0.18,0.06,2.83,0.05
BASALT,49.83,0.94,14.64,12.62,10.49,7.55,0.21,0.46,1.78,0.09
ANDESITE,55.06,0.64,19.38,7.11,8.51,4.18,0.11,0.28,3.81,0.13
BASALT,46.58,1.43,17.76,12.79,9.7,6.97,0.17,0.21,2.84,0.14
ANDESITE,55.61,0.69,17.5,8.35,8.37,4.53,0.15,0.53,3.23,0.11
BASALT,51.98,0.45,17.75,8.84,10.02,4.41,0.29,0.05,5.2,0.03
ANDESITE,56.81,0.78,16.92,8.04,6.48,3.56,0.15,1.5,4.58,0.27
BASALT,50.2,0.61,18.98,11.01,9.06,3.17,0.33,2.24,3.08,0.08
ANDESITE,61.78,0.6,16.42,5.94,4.96,2.23,0.11,1.62,5.49,0.21
ANDESITE,59.72,0.77,17.84,8.03,6.76,3.52,0.14,1.05,0.98,0.28
BASALT,50.34,1.92,17.47,12.6,0.3,15.62,0.03,0.02,0.09,0.21
BASALT,51.63,1.9,17.35,13.58,1.41,10.99,0.28,0.06,1.03,0.24
BASALT,51.99,0.64,15.84,11.33,8.11,7.27,0.17,0.51,2.8,0.07
BASALT,52.12,2.24,13.21,15.05,6.09,4.56,0.25,0.39,4.21,0.2
BASALT,51.65,2.11,12.76,15.94,8.14,4.04,0.23,0.31,2.82,0.22
BASALT,48.02,2.97,13.4,16.26,7.97,3.84,0.34,0.39,3.34,1.66
BASALT,51.06,2.02,14.0,16.12,7.2,3.09,0.28,0.31,3.27,0.86
DACITE,69.89,0.42,14.06,3.17,3.94,1.73,0.05,1.53,4.74,0.11
RHYOLITE,74.81,0.22,13.95,1.57,1.93,0.46,0.03,2.56,4.23,0.06
DACITE,63.89,0.7,14.86,7.21,3.95,3.82,0.12,1.62,2.93,0.08
DACITE,63.65,0.64,15.52,5.25,4.99,2.35,0.15,3.36,3.34,0.15
DACITE,64.42,0.68,16.05,4.39,5.24,2.72,0.07,1.33,4.45,0.15
DACITE,70.14,0.42,12.35,7.24,2.82,0.82,0.15,0.5,4.7,0.06
DACITE,70.21,0.4,12.33,7.14,3.48,0.28,0.17,0.44,4.71,0.06
DACITE,71.72,0.56,11.25,6.81,2.92,0.98,0.13,0.64,4.12,0.1
RHYOLITE,73.19,0.53,11.09,6.1,2.34,0.52,0.14,0.63,4.67,0.11
BASALT,49.47,1.04,14.88,12.58,11.56,5.8,0.27,0.24,2.66,0.09
BASALT,49.61,0.99,14.95,12.54,12.12,5.4,0.21,0.17,2.52,0.08
BASALT,48.8,1.09,15.58,12.08,13.43,4.58,0.26,0.16,2.57,0.09
BASALT,49.26,0.99,15.31,12.04,12.26,5.9,0.22,0.17,2.42,0.08
BASALT,51.94,1.36,14.46,13.11,7.91,3.53,0.22,1.65,4.19,0.18
BASALT,50.61,1.5,13.5,14.62,10.34,3.69,0.18,0.03,3.73,0.16
BASALT,48.57,2.03,12.67,17.47,9.36,4.33,0.26,0.48,2.67,0.2
BASALT,48.78,1.01,11.3,12.9,13.19,8.7,0.22,0.42,1.98,0.06
BASALT,49.7,1.06,15.16,12.16,10.62,6.28,0.16,0.33,3.11,0.07
BASALT,48.48,2.02,12.71,17.62,9.02,4.62,0.26,0.45,2.71,0.16
BASALT,47.4,1.5,14.03,16.21,10.38,4.59,0.29,0.24,3.43,0.13
BASALT,49.02,1.39,14.24,14.96,9.03,4.78,0.22,0.12,4.42,0.14
BASALT,48.98,1.54,13.87,15.94,6.74,4.75,0.21,1.76,4.28,0.16
BASALT,52.02,1.56,14.28,14.92,5.69,4.32,0.2,0.54,4.64,0.17
BASALT,50.12,1.13,15.6,12.54,10.01,4.33,0.19,0.69,3.88,0.12
BASALT,50.81,1.35,16.03,14.33,7.45,3.58,0.17,1.48,3.03,0.15
BASALT,50.28,1.16,16.22,13.68,6.85,5.43,0.16,0.23,4.32,0.14
BASALT,50.64,1.08,15.43,11.55,10.17,4.9,0.16,0.45,4.21,0.12
BASALT,49.01,1.39,14.42,16.78,7.2,5.03,0.25,0.36,3.59,0.11
BASALT,53.54,1.29,11.98,12.29,11.12,2.52,0.37,0.59,4.77,0.15
BASALT,51.76,1.55,14.38,16.71,5.97,4.8,0.25,1.28,1.28,0.16
BASALT,50.93,1.58,14.66,14.0,8.51,3.09,0.22,0.55,4.75,0.15
KOMATIITE,45.56,0.33,7.48,11.72,6.34,27.24,0.24,0.11,0.11,0.02
KOMATIITE,44.99,0.45,9.26,11.99,7.54,23.7,0.23,0.04,0.1,0.04
BASALT,51.0,0.68,13.16,11.52,10.1,9.85,0.21,0.69,1.37,0.06
BASALT,50.77,0.75,13.94,12.6,9.43,7.28,0.23,0.07,3.56,0.07
BASALT,50.63,0.63,13.2,10.17,10.2,9.8,0.21,0.15,3.54,0.06
BASALT,49.29,0.71,12.2,9.53,11.07,13.01,0.17,0.03,2.6,0.08
BASALT,45.85,0.49,9.36,11.76,10.85,19.26,0.24,0.03,0.18,0.05
BASALT,50.1,0.42,8.39,10.6,13.57,14.71,0.24,0.03,0.31,0.04
BASALT,46.68,0.55,10.84,12.27,10.23,16.35,0.2,0.06,1.16,0.05
BASALT,52.49,0.6,11.66,11.1,7.84,11.89,0.17,0.03,3.3,0.02
BASALT,52.34,1.04,14.37,9.7,10.84,7.8,0.21,0.2,2.36,0.08
KOMATIITE,41.36,0.24,4.93,8.76,4.41,30.18,0.14,0.047,0.35,0.012
KOMATIITE,44.07,0.21,5.47,9.48,5.2,33.92,0.19,0.13,0.32,0.02
KOMATIITE,49.5,0.534,8.86,10.08,9.45,13.0,0.21,0.02,2.72,0.05
KOMATIITE,49.1,0.527,8.82,9.45,10.75,12.3,0.21,0.03,2.66,0.04
THOLEIITE,49.6,0.941,12.9,12.33,7.32,7.55,0.18,0.74,2.04,0.08
THOLEIITE,51.3,0.622,15.63,11.79,7.58,5.71,0.29,0.04,2.39,0.06
BASALT,52.56,0.64,12.83,12.09,8.55,10.85,0.17,0.03,1.64,0.03
BASALT,46.45,0.65,12.0,13.64,11.82,14.11,0.24,0.0,0.63,0.02
BASALT,50.2,0.71,15.8,11.2,10.7,8.34,0.2,0.32,2.24,0.04
BASALT,49.1,0.76,16.3,10.5,11.7,9.17,0.22,0.23,1.81,0.04
GABBRO,51.4,0.94,15.6,11.3,11.2,7.64,0.21,0.22,1.37,0.04
BASALT,51.6,1.06,14.8,12.2,10.3,7.58,0.18,0.21,1.9,0.07
BASALT,47.2,1.83,13.8,17.6,9.76,6.15,0.34,0.27,2.7,0.09
BASALT,54.0,0.9,15.2,9.48,10.1,6.3,0.2,0.18,3.39,0.17
ANDESITE,56.6,0.91,16.7,8.27,8.07,5.24,0.13,0.98,2.71,0.15
ANDESITE,62.3,0.87,15.7,6.65,4.47,4.4,0.13,1.62,3.63,0.12
ANDESITE,62.3,0.95,16.0,7.31,3.03,4.38,0.09,1.15,4.38,0.23
RHYOLITE,70.0,0.37,15.1,3.03,2.47,1.72,0.05,1.62,5.61,0.05
RHYOLITE,79.9,0.28,12.8,1.17,0.54,0.31,0.03,2.39,2.52,0.02
BASALT,49.9,0.93,15.4,11.6,11.1,7.49,0.19,0.0,3.27,0.03
BASALT,49.4,1.07,15.7,12.2,11.7,8.3,0.22,0.0,1.15,0.05
BASALT,51.4,2.18,11.9,17.2,10.4,3.96,0.23,0.0,2.32,0.11
ANDESITE,59.3,0.94,12.5,11.3,5.43,6.22,0.21,0.22,3.68,0.05
ANDESITE,59.4,0.82,17.8,6.88,4.3,5.22,0.13,0.76,4.39,0.13
ANDESITE,60.9,0.55,16.2,8.22,5.69,5.29,0.13,0.0,2.81,0.02
ANDESITE,54.9,0.91,15.3,9.97,7.22,6.38,0.17,0.57,4.41,0.08
ANDESITE,53.3,1.12,14.3,11.1,9.71,6.45,0.21,0.04,3.39,0.11
ANDESITE,55.6,1.41,13.9,12.6,9.86,3.02,0.2,0.35,2.48,0.19
ANDESITE,55.3,1.57,14.3,14.0,6.39,4.74,0.24,0.05,2.96,0.18
ANDESITE,56.2,1.67,13.9,13.9,6.29,5.04,0.19,0.08,2.12,0.21
ANDESITE,53.6,1.67,14.8,15.0,7.93,3.76,0.23,1.12,1.3,0.23
BASALT,50.2,1.87,14.7,14.3,8.65,5.61,0.18,0.27,3.36,0.19
DACITE,66.1,0.54,16.2,3.9,3.11,1.93,0.05,3.13,5.85,0.08
DACITE,67.2,0.52,16.2,5.54,1.71,2.1,0.05,2.48,4.01,0.09
DACITE,67.4,0.52,15.5,4.02,2.96,2.5,0.04,0.91,5.94,0.09
DACITE,67.7,0.51,16.1,3.77,3.01,1.8,0.06,2.68,4.21,0.07
DACITE,68.5,0.65,13.9,5.69,2.99,2.33,0.11,1.25,4.39,0.06
RHYOLITE,73.8,0.42,13.5,2.93,1.36,1.12,0.07,0.46,6.14,0.07
RHYOLITE,75.0,0.24,14.2,2.13,0.63,0.49,0.04,0.77,6.39,0.07
RHYOLITE,76.3,0.23,12.8,2.66,1.72,0.59,0.03,1.9,3.64,0.01
RHYOLITE,78.1,0.34,12.3,1.12,0.86,0.22,0.02,0.29,6.73,0.04
RHYOLITE,78.2,0.58,11.6,2.05,1.86,0.37,0.04,0.78,4.4,0.1
DACITE,62.0,1.33,16.0,8.07,3.58,2.74,0.11,0.39,5.1,0.3
DACITE,62.3,0.84,16.7,5.8,8.63,2.26,0.13,2.76,0.15,0.17
DACITE,63.8,0.99,16.9,5.59,4.14,3.17,0.09,3.18,1.72,0.25
DACITE,64.6,0.67,16.1,5.61,1.96,4.33,0.1,0.78,5.6,0.1
RHYOLITE,77.0,0.25,13.3,0.21,0.14,0.0,0.01,6.92,2.11,0.0
RHYOLITE,77.2,0.24,12.9,0.33,0.04,0.0,0.01,8.25,1.03,0.0
RHYOLITE,79.4,0.19,12.7,0.3,0.02,0.04,0.01,4.52,2.86,0.0
RHYOLITE,82.2,0.17,10.5,0.7,2.69,0.42,0.04,3.2,0.0,0.0
BASALT,52.2,1.37,15.4,11.4,8.91,4.82,0.25,0.2,5.13,0.19
BASALT,51.7,1.53,15.1,12.6,10.2,6.86,0.2,0.06,1.35,0.09
BASALT,53.7,1.83,13.2,16.1,8.01,4.87,0.25,0.67,0.81,0.18
BASALT,46.3,0.72,17.4,11.0,12.1,9.96,0.2,0.0,2.02,0.01
BASALT,45.7,0.78,17.0,8.75,19.1,5.56,0.2,0.0,2.51,0.02
BASALT,48.9,0.8,17.0,10.0,10.9,8.91,0.17,0.0,3.07,0.02
BASALT,47.6,0.83,18.2,10.2,12.5,7.89,0.17,0.02,2.27,0.03
BASALT,44.5,0.85,18.1,13.9,11.9,8.19,0.37,0.19,1.6,0.03
BASALT,47.1,0.9,17.6,11.6,9.6,9.68,0.19,0.03,2.98,0.02
BASALT,48.8,1.09,17.3,11.2,13.8,5.24,0.21,0.03,2.13,0.04
BASALT,55.1,1.92,12.9,15.9,6.35,3.19,0.21,0.15,3.63,0.25
ANDESITE,59.2,0.7,17.3,6.11,8.14,3.9,0.11,0.52,3.68,0.08
ANDESITE,61.9,0.81,15.0,6.42,9.28,2.09,0.12,1.65,2.5,0.1
DACITE,66.4,0.77,13.7,8.53,1.77,1.91,0.11,1.21,5.25,0.06
RHYOLITE,74.5,0.62,11.0,4.7,2.4,1.0,0.1,0.51,5.08,0.04
ANDESITE,61.5,0.88,16.2,12.0,1.38,2.18,0.16,4.55,0.71,0.07
RHYOLITE,74.0,0.63,11.0,6.13,1.62,0.6,0.11,1.11,4.64,0.04
RHYOLITE,71.0,0.4,11.9,7.27,3.54,0.85,0.13,0.81,3.82,0.03
RHYOLITE,71.6,0.72,12.0,6.96,2.36,1.55,0.11,0.15,4.21,0.13
RHYOLITE,72.0,0.66,11.5,7.23,2.18,0.98,0.11,0.13,3.94,0.08
RHYOLITE,72.7,0.65,11.3,7.37,2.51,0.69,0.12,0.49,2.97,0.07
RHYOLITE,72.7,0.82,11.6,5.89,3.02,0.48,0.18,1.39,3.64,0.15
RHYOLITE,74.1,0.65,12.0,4.08,2.42,0.66,0.11,0.54,5.29,0.08
RHYOLITE,74.8,0.49,10.9,6.87,1.3,0.58,0.15,1.37,2.94,0.01
RHYOLITE,75.9,0.39,11.2,4.64,2.82,0.09,0.11,0.53,4.18,0.01
RHYOLITE,77.4,0.27,11.1,3.73,1.2,0.53,0.06,1.54,3.92,0.0
RHYOLITE,81.9,0.4,10.4,0.42,0.27,0.0,0.02,1.05,5.51,0.0
RHYOLITE,74.9,0.29,11.7,3.67,1.24,1.19,0.06,2.12,0.98,0.05
RHYOLITE,72.9,0.33,14.4,1.77,1.36,0.6,0.04,1.3,5.08,0.09
GABBRO,53.3,0.54,20.2,6.47,9.77,3.56,0.1,0.27,3.34,0.14
ANDESITE,55.95,0.57,18.68,7.62,8.42,2.98,0.11,1.23,3.43,0.14
RHYOLITE,73.3,0.2,15.0,1.65,1.98,0.65,0.03,1.94,4.19,0.07
DACITE,65.0,0.37,14.7,3.87,3.9,2.33,0.06,2.19,3.7,0.11
BASALT,51.6,0.99,12.6,11.4,9.6,8.43,0.19,0.93,1.9,0.09
ANDESITE,55.7,0.56,16.54,9.7,8.96,3.8,0.15,0.97,2.58,0.13
BASALT,52.4,0.52,11.9,9.12,8.88,12.1,0.18,0.06,2.7,0.04
ANDESITE,55.9,0.55,15.8,9.6,5.75,6.56,0.15,0.06,4.2,0.05
ANDESITE,52.5,0.96,14.4,9.23,8.96,7.67,0.15,0.17,3.9,0.09
ANDESITE,56.2,1.29,13.9,11.88,6.04,3.28,0.15,2.29,3.4,0.25
ANDESITE,53.25,1.61,14.76,13.56,6.66,3.27,0.18,1.17,3.67,0.36
RHYOLITE,76.81,0.35,12.66,0.55,0.33,0.08,0.02,5.2,3.98,0.05
DACITE,69.8,0.52,13.1,4.04,1.54,0.57,0.08,4.87,3.5,0.1
BASALT,50.62,0.9,19.65,10.78,7.4,3.22,0.13,2.63,2.95,0.12
GABBRO,50.26,0.64,18.37,10.7,10.81,5.17,0.18,0.55,2.8,0.08
